Razón Social,Estado,Municipio,Domicilio,Colonia,C.P.,Teléfono,E-mail,tipo_hospedaje,id_propietario,destino_id
ANDURIÑA SA DE CV,Ciudad de México,Benito Juárez,Calzada DE TLALPAN 1606 int .,Colonia PRADO ERMITA,3590,5557056942,,Hotel,342,18
"SERVICIO MIRAVALLE, S.A. DE C.V.",Ciudad de México,Benito Juárez,Calzada DE TLALPAN 1512 int .,Colonia MIRAVALLE,3580,5555321881,,Hotel,343,55
"PEDRAS, S.A. DE C.V.",Ciudad de México,Benito Juárez,Viaducto MIGUEL ALEMÁN 9 int .,"Colonia CÓDIGO 2, COLONIA DEL VALLE CENTRO",3100,5556692990,,Hotel,344,24
OPERADORA HOTELERA ROYAL,Ciudad de México,Benito Juárez,Avenida AV REVOLUCION 583 int NA,Colonia SAN PEDRO DE LOS PINOS,3800,5552789950,contralorgeneral@hinntradecenter.com.mx,Hotel,345,36
HOTEL DANY,Ciudad de México,Benito Juárez,Avenida DE LA VEGA 615 int NO,Colonia SAN FRANCISCO XICALTONGO,8230,5556746845,facturacionhotelgracia@gmail.com,Hotel,346,60
POP LIFE HOTEL,Ciudad de México,Benito Juárez,Avenida REVOLUCION 737 int SIN NUMERO,Colonia SANTA MARIA NONOALCO,3630,5515184336,toyuco@hotmail.com,Hotel,347,32
NUEVO TIJUANA,Ciudad de México,Benito Juárez,Calle RAMOS MILLAN 9 int NINGUNO,Colonia NINOS HEROES DE CHAPULTEPEC,3440,5555902629,HNTIJUANA@GMAIL.COM,Hotel,348,112
OPERADORA BRUESAL,Ciudad de México,Benito Juárez,Calle DIAGONAL SAN ANTONIO 1947 int NINGUNO,Colonia NARVARTE,3020,5550605370,permisoslegales.2023@gmail.com,Hotel,349,10
JOSE ANTONIO VILLANUEVA ARIAS,Ciudad de México,Benito Juárez,Calle ANTONIO VAN DICK 24 int NA,Colonia MIXCOAC,3630,5555354289,miguel.ramirez@oamyasociados.com,Hotel,350,57
MX HOTELES OPERACION Y SERVICIOS INTEGRALES,Ciudad de México,Benito Juárez,Calle MAGDALENA 311 int NINGUNO,Colonia DEL VALLE NORTE,3103,5585311013,d.gonzalez@hotelesmx.com,Hotel,351,104
HOTEL MARIA RICO,Ciudad de México,Benito Juárez,Calle JOSE MARIA RICO 523 int NO,Colonia DEL VALLE,3100,5555240437,hmariarico2019@hotmail.com,Hotel,352,111
ALIANZAS FREPO,Ciudad de México,Benito Juárez,Calzada TLALPAN 1221 int .,Colonia SAN SIMON TICUMAC,3660,5556746845,FACTURACIONHOTELGRACIA@GMAIL.COM,Hotel,353,110
FARFIELD INN SUITES MARRIOTT,Ciudad de México,Benito Juárez,Calzada VALLEJO 1090 int PISO 7,Colonia CRUZ DE LAS SALINAS,23000,5550001750,paulina.velazquez@courtyard.com,Hotel,354,71
HOTELERA AMABLE,Ciudad de México,Benito Juárez,Calzada DE TLAPAN 906 int NINGUNO,Colonia NATIVITAS,3500,5557561515,juanmiguel_sarmiento@hotmail.com,Hotel,355,13
ARRENDADORA DE INMUEBLES MIRAMAR,Ciudad de México,Benito Juárez,Calzada DE TLALPAN 1150 int NO,Colonia MIRAVALLE,3580,5555848166,itorreblanca@aol.com,Hotel,356,7
"HOTEL ALCABA, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Avenida AVENIDA DE LA REPÚBLICA 20 int 0,Colonia TABACALERA,6030,5555462856,,Hotel,357,84
"B. COSTOL, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Avenida INSUGENTES CENTRO 58 int 0,Colonia TABACALERA,6030,5555667163,,Hotel,358,70
HOTEL PICASO,Ciudad de México,Cuauhtémoc,Avenida RIO CONSULADO 661 int .,Colonia ATLAMPA,6450,5582258850,motelpicasocircuito@gmail.com,Hotel,359,108
"INMOBILIARIA FRANCAR, S.A.",Ciudad de México,Cuauhtémoc,Calle NEZAHUALCOYOTL 201 int -,Colonia CENTRO DE LA CIUDAD DE MEXICO,6000,5557056942,hotel.latina@hotmail.com,Hotel,360,2
HOTEL EL DORADO,Ciudad de México,Cuauhtémoc,Calle OROZCO Y BERRA 131 int .,Colonia BUENAVISTA,6350,5527286454,,Hotel,361,12
HOTEL SAN MARCOS,Ciudad de México,Cuauhtémoc,Calle MESONES 192 int .,Colonia CENTRO,6090,5555222312,,Hotel,362,97
"OPERADORA HOTELERA LORE, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle SUR 79 4112 int .,Colonia ASTURIAS,6850,5557404470,,Hotel,363,109
"HOTELERA DACON, SA DE CV",Ciudad de México,Cuauhtémoc,Calle LOPEZ 22 int .,Colonia CENTRO (AREA 5),6050,5564258036,elmavaraujo@hotmail.com,Hotel,364,31
"HOTEL SAN DIEGO, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle LUIS MOYA 98 int .,Colonia CENTRO AREA 7,6000,5513040070,octaviosapo@hotmail.com,Hotel,365,22
"HOTELERA AZUL, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle JOSE JOAQUIN PESADO 13 int .,Ciudad industrial OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,366,53
SIN NOMBRE,Ciudad de México,Cuauhtémoc,Calle JOSE JOAQUIN ARRIAGA 91 int .,Colonia OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,367,63
LIÑACAM SA DE CV,Ciudad de México,Cuauhtémoc,Calle MANUEL GUTIERREZ NAJERA 277 int .,Colonia TRANSITO,6820,5527286454,reaconsultores@prodigy.net.mx,Hotel,368,62
"HOTEL ""TAXCO""",Ciudad de México,Cuauhtémoc,Calle JULIAN MONTIEL 35 int .,Colonia JULIAN MONTIEL,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,369,28
HOTEL HIDALGO,Ciudad de México,Cuauhtémoc,Calle DR. BARRAGAN 163 int -,Colonia DOCTORES,6720,5527286454,reaconsultores@prodigy.net.mx,Hotel,370,111
HOTEL REGINA,Ciudad de México,Cuauhtémoc,Calle REGINA 133 int .,Colonia CENTRO AREA 1,6020,5527286454,reaconsultores@prodigy.net.mx,Hotel,371,52
"HOTELERA RIOMAR, S.A.",Ciudad de México,Cuauhtémoc,Calle ISABEL LA CATOLICA 304 int -,Colonia OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,372,8
HOTEL ATLANTA S DE RL,Ciudad de México,Cuauhtémoc,Calle BELISARIO DOMINGUEZ 31 int .,Colonia CENTRO (AREA 2),6010,5555492032,elmavaraujo@hotmail.com,Hotel,373,22
"OPERADORA HOTELERA BREMENGAL, SA DE CV",Ciudad de México,Cuauhtémoc,Calle ISABEL LA CATOLICA 211 int .,Colonia OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,374,49
PLAYA INTERNACIONAL SA DE CV,Ciudad de México,Cuauhtémoc,Calle NEZAHUALCOYOTL 52 int 0,Colonia CENTRO,6050,5555789392,,Hotel,375,1
ALIMENTOS Y HOSPEDAJES CASA PRIM SA CV,Ciudad de México,Cuauhtémoc,Calle GENERAL PRIM 72 int NINGUNO,Colonia JUAREZ,6600,5555468080,facturacion@casaprim.com.mx,Hotel,376,50
GRUPO HOTELERO HABITA S.A DE C.V,Ciudad de México,Cuauhtémoc,Calle GUADALAJARA 103 int -,Colonia ROMA NORTE,6700,5552412540,laura@hotelhabita.com,Hotel,377,34
GRUPO HOTELERO HABITA / GUATEMALA,Ciudad de México,Cuauhtémoc,Calle REPUBLICA DE GUATEMALA 20 int NINGUNO,Colonia CENTRO AREA 3,6020,5552412540,laura@hotelhabita.com,Hotel,378,101
HOTEL SORA SA DE CV,Ciudad de México,Cuauhtémoc,Calle ALVARO OBREGON 38 int -,Colonia ROMA NORTE,6700,5510859503,edith.rodriguez@fourpointsmxroma.com,Hotel,379,101
HOTEL WASHINGTON,Ciudad de México,Cuauhtémoc,Calle 5 DE MAYO 54 int .,Colonia CENTRO AREA 1,6000,5555211143,hotel.washintong54@gmail.com,Hotel,380,59
"ADMINISTRADORA DE HOTELES LA LIBERTAD, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle LIBERTAD 60 int A,Colonia MORELOS,6220,5564258036,elmavaraujo@hotmail.com,Hotel,381,37
"HOTEL NORMANDIE, S.A.",Ciudad de México,Cuauhtémoc,Calle VIRGINIA FÁBREGAS 14 int .,Colonia SAN RAFAEL,6470,5555664088,,Hotel,382,55
ELISEO CERDEIRA MARTINEZ,Ciudad de México,Cuauhtémoc,Calle LUCAS ALAMAN 73 int -,Colonia OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,383,90
PATACAS SA DE CV,Ciudad de México,Cuauhtémoc,Calle SINALOA 32 int .,Colonia ROMA,6700,5552070726,,Hotel,384,94
HOTEL CASA GONZALEZ S DE RL DE CV,Ciudad de México,Cuauhtémoc,Calle RIO SENA 69 int 0,Colonia CUAUTHÉMOC,6500,5555143302,operaciones@hotelcasagonzalez.com,Hotel,385,101
HOTEL,Ciudad de México,Cuauhtémoc,Calle HÉROES 207 int .,Colonia GUERRERO,6300,5555272850,reaconsulores180@gmail.com,Hotel,386,72
HOTEL ESPINEIRA,Ciudad de México,Cuauhtémoc,Calle HÉROES 207 int -,Colonia GUERRERO,6300,5527286454,reaconsultores@prodigy.net.mx,Hotel,387,85
HOTEL RIVIERA,Ciudad de México,Cuauhtémoc,Calle JOSÉ MARÍA ROA BÁRCENAS 117 int -,Colonia OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,388,92
HOTELERIA,Ciudad de México,Cuauhtémoc,Calle MANUEL DOBLADO 162 int -,Colonia MORELOS,6200,5527286454,reaconsultores@prodigy.net.mx,Hotel,389,63
"HOTEL ISABEL, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle ISABEL LA CATÓLICA 63 int 0,Colonia COLONIA CENTRO,6000,5555181213,hisabel@prodigy.net.mx,Hotel,390,20
"HOTEL RIBADAVIA, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle WAGNER 6 int -,Colonia EX HIPÓDROMO DE PERALVILLO,6250,5527286454,reaconsultores@prodigy.net.mx,Hotel,391,25
"OPERADORA RODALZAR, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle DOCTOR CLAUDIO BERNARD 112 Y 114 int -,Colonia DOCTORES,6720,5527286454,reaconsultores@prodigy.net.mx,Hotel,392,38
HOTEL SANTA MARIA SA DE CV,Ciudad de México,Cuauhtémoc,Calle MANUEL CARPIO 82 int 0,Colonia SANTA MARIA LA RIBERA,6400,5555410214,,Hotel,393,28
"ARRENDAMIENTO ESPECIALIZADO TURISTICO, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle NUEVO LEÓN 108 int .,Colonia HIPÓDROMO CONDESA,6100,5552110001,,Hotel,394,8
HOTEL BOLIVIA,Ciudad de México,Cuauhtémoc,Calle REPUBLICA DE BOLIVIA 23 int V,Colonia CENTRO AREA 3,6020,5557893476,,Hotel,395,75
PROMOTORA UNO 77  S.A. DE C.V.,Ciudad de México,Cuauhtémoc,Calle MAESTRO ANTONIO CASO 177 int -,Colonia SAN RAFAEL,6470,5527286454,reaconsultores@prodigy.net.mx,Hotel,396,95
"RÍO LERMA 162, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle RÍO LERMA 154 int 0,Colonia CUAUHTÉMOC,6500,5555331032,kcorrea@hoteldelangel.mx,Hotel,397,70
HOTEL PIGAL,Ciudad de México,Cuauhtémoc,Calle JUAN ALDAMA 28 int -,Colonia GUERRERO,6300,5527286454,reaconsultores@prodigy.net.mx,Hotel,398,8
SWEET SAN FRANCISCO S.A.DE C.V.,Ciudad de México,Cuauhtémoc,Calle LUIS MOYA 11 int NINGUNO,Colonia CENTRO AREA 5,6050,5555218960,,Hotel,399,96
IMPULSORA PLAZA CELAYA,Ciudad de México,Cuauhtémoc,Calle REPUBLICA DE URUGUAY 45 int 0,Colonia CENTRO,6000,5588525000,ccmex.contador@cityexpress.com.mx,Hotel,400,41
"HOTEL FABIOLA, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle ISABEL LA CATÓLICA 246 int -,Colonia OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,401,8
AMSAR S.A. DE C.V.,Ciudad de México,Cuauhtémoc,Calle JUAN A. MATEOS ANTONIO 159 int -,Colonia OBRERA,6800,5527286454,reaconsultores@prodigy.net.mx,Hotel,402,7
LA FONTELINA SA DE CV,Ciudad de México,Cuauhtémoc,Calle REPUBLICA DE COLOMBIA 11 int 0,Colonia CENTRO,6020,5555261118,elizajuarez@hotmail.com,Hotel,403,75
"ARRENDAMIENTO ESPECIALIZADO TURISTICO, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calle NUEVO LEÓN 108 int NINGUNO,Colonia HIPÓDROMO CONDESA,6100,5552110001,margarita.sanchez@schatz.com,Hotel,404,62
HOTEL TORREON,Ciudad de México,Cuauhtémoc,Callejón IZAZAGA #66 int 0,Colonia CENTRO DE LA CIUDAD DE MEXICO,6080,5557092386,HOTELERIAIZAZAGA@GMAIL.COM,Hotel,405,65
HOTEL ESC SA DE CV,Ciudad de México,Cuauhtémoc,Callejón HORMIGUERO 4 int 0,Colonia CENTRO DE LA CIUDAD DE MÉXICO ÁREA 9,6090,5555227281,,Hotel,406,110
HOTEL REC SA DE CV,Ciudad de México,Cuauhtémoc,Callejón DEL HORMIGUERO 12 int 0,Colonia CENTRO,6090,5555226001,,Hotel,407,68
"PROMOTORA HOTEL RÍO MIÑO, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Calzada DE GUADALUPE 152 int -,Colonia PERALVILLO,6220,5527286454,reaconsultores@prodigy.net.mx,Hotel,408,21
OPERADORA LOS SACEDA S.A. DE C.V.,Ciudad de México,Cuauhtémoc,Calzada IGNACIO ZARAGOZA 114 int -,Colonia BUENAVISTA,6350,5527286454,reaconsultores@prodigy.net.mx,Hotel,409,8
"BUMO DE MEXICO, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Eje vial EJE CENTRAL LAZARO CARDENAS 337 int .,Colonia BUENOS AIRES,6780,5555193252,,Hotel,410,66
"HOTEL MARLYNCER, S.A. DE C.V.",Ciudad de México,Cuauhtémoc,Eje vial CENTRAL (LÁZARO CÁRDENAS) 47 int 0,Colonia DOCTORES,6720,5555780033,,Hotel,411,11
HOTEL ENSENADA,Ciudad de México,Cuauhtémoc,Avenida ALVARO OBREGON 13 int .NO,Colonia ROMA,6700,5550800903,HSTANZA08@HOTMAILI.COM,Hotel,412,109
HOTEL LAS VEGAS,Ciudad de México,Cuauhtémoc,Avenida ANILLO DE CIRCUNVALACION 1023 int NINGUNO,Colonia CENTRO AREA 6,6060,5555224264,HLASVEGAS1023@GMAIL.COM,Hotel,413,24
HOTEL HILTON,Ciudad de México,Cuauhtémoc,Avenida BOSQUES DURANGO 127 int PISO 11 OFICINA 11-44,Colonia BOSQUES DE LAS LOMAS,11700,5559859011,ANDREA.RAMIREZ@HILTON.COM,Hotel,414,9
OMC GOURMET,Ciudad de México,Cuauhtémoc,Avenida GUERRERO 90 int NA,Colonia GUERRERO,6300,5566113515,DANGELICA@GMAIL.COM,Hotel,415,77
HOTEL ZAMORA,Ciudad de México,Cuauhtémoc,Avenida 5 DE MAYO 50 int .NO,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA 2,6010,5555125523,aymsa@prodigy.net.mx,Hotel,416,9
HOTEL MUSEO,Ciudad de México,Cuauhtémoc,Avenida HEROES FERROCARRILEROS 54 int NINGUNO,Colonia SANTA MARIA LA RIBERA,6400,5552550091,ALEJANDRO.VELEZ@MLCP.COM.MX,Hotel,417,87
OPERADORA HOTEL CENTRO HISTORICO,Ciudad de México,Cuauhtémoc,Avenida JUAREZ 70 int NO,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA  2,6010,5551305300,FRIDA.VALDERRABANO@HITON.COM,Hotel,418,111
PROYECTO 1818,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 439 int NO,Colonia CUAUHTEMOC,6500,5552281841,ANA.DUARTE2@STREGIS.COM,Hotel,419,31
HOTEL MX REFORMA,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 316 int NINGUNO,Colonia JUAREZ,16090,5585311013,D.GONZALEZ@mxhoteles.com,Hotel,420,52
HOTEL BARCELO,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA NO 3 int NA,Colonia TABACALERA,6030,5551285000,mexicoreforma.adm2@barcelo.com,Hotel,421,16
MARRIOT,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 276 int NINGUNO,Colonia JUAREZ,16090,5511027030,HMR.CXP@GRUPODIESTRA.COM,Hotel,422,73
HOTELERA COBAS,Ciudad de México,Cuauhtémoc,Avenida RIO CONSULADO 104 int NINGUNA,Colonia SANTA MARIA INSURGENTES,6430,5553898445,ALCARRASCO@PRODIGY.NET.MX,Hotel,423,32
HOTEL GALVAS,Ciudad de México,Cuauhtémoc,Avenida INSURGENTES CENTRO 50 int NINGUNO,Colonia TABACALERA,16090,5555927420,hotelgalvas@gmail.com,Hotel,424,75
CANCUN GOLF RESORT,Ciudad de México,Cuauhtémoc,Avenida CHAPULTEPEC 206 int NO,Colonia ROMA NORTE,6700,5511021700,LUIS.GARMILLA@PARALELO19.COM,Hotel,425,77
PROMOCIONES RIO PLATA,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 465 int NO,Colonia CUAUHTEMOC,6500,5552291200,CONTADOR@MARQUISREFORMA.COM,Hotel,426,6
FIESTA INN,Ciudad de México,Cuauhtémoc,Avenida EJE 1 NORTE MOSQUETA 259 int 10A,Colonia BUENAVISTA,6350,5522826530,yamilet.monje@posadas.com,Hotel,427,80
CAREYES NET,Ciudad de México,Cuauhtémoc,Avenida CHAPULTEPEC 206 int NO,Colonia ROMA NORTE,6700,5511011700,LUIS.GARMILLA@PARALELO19.COM,Hotel,428,11
PROMOTORA DE HOTELES IMPERIAL,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 64 int .NO,Colonia JUAREZ,6350,5557054911,CONTABILIDAD2_HOTELIMPERIAL@OUTLOOK.COM,Hotel,429,54
HOTEL MONARCA,Ciudad de México,Cuauhtémoc,Avenida ALVARO OBREGON 32 int BIS,Colonia ROMA,6700,5555219594,facturacion.ciudadela@kalihoteles.com,Hotel,430,85
HOTEL EL PATIO,Ciudad de México,Cuauhtémoc,Avenida INSURGENTES NORTE 734 int .NO,Colonia SANTA MARIA INSURGENTES,6430,5555219594,facturacion.ciudadela@kalihoteles.com,Hotel,431,75
HOTEL GUADALAJARA,Ciudad de México,Cuauhtémoc,Avenida RAYON 54 int NINGUNO,Colonia MORELOS,6200,5555299820,HGUADALAJARAMX@GMAIL.COM,Hotel,432,73
HOTEL CANADA,Ciudad de México,Cuauhtémoc,Avenida 5 DE MAYO 47 int NA,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA 1,6000,5551303060,abel.medina@centralhoteles.com,Hotel,433,67
OPERADORA CRECEIRO,Ciudad de México,Cuauhtémoc,Avenida BUENAVISTA 4 int NA,Colonia GUERRERO,6300,5536237979,despachocontable@yahoo.com,Hotel,434,41
BLOCK SUITES,Ciudad de México,Cuauhtémoc,Avenida CHAPULTEPEC 346 int NINGUNO,Colonia ROMA NORTE,6700,5555208305,BLOCKSUITES@GMAIL.COM,Hotel,435,34
HOTEL EMPORIO,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 124 int .NO,Colonia JUAREZ,6600,5555667766,mexico.contralor@hotelesemporio.com,Hotel,436,27
HOTEL MX FORUM BUENAVISTA,Ciudad de México,Cuauhtémoc,Avenida INSURGENTES NORTE 226 int NINGUNO,Colonia SANTA MARIA LA RIBERA,16090,5685311013,d.gonzalez@hotelesmx.com,Hotel,437,86
PLAN RESORTS,Ciudad de México,Cuauhtémoc,Avenida CHAPULTEPEC 206 int NO,Colonia ROMA NORTE,6700,5511021700,luis.gamilla@paralelo19.com,Hotel,438,92
INMOBILIARIA PASEO DE LA REFORMA,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 105 int NO,Colonia TABACALERA,6030,5555668421,MARIO.SALINAS@GRUPOEVI.COM,Hotel,439,41
CECUA OPERADORA HOTELERA,Ciudad de México,Cuauhtémoc,Avenida SALAMANCA 06700 int NINGUNO,Colonia ROMA NORTE,6700,5585311013,D.GONZALEZ@HOTELESMX.COM,Hotel,440,31
INMOBILIARIA CALVELO,Ciudad de México,Cuauhtémoc,Avenida LAZARO CARDENAS 56 int NO,Colonia OBRERA,16090,5685311013,D.GONZALEZ@HOTELESMX.COM,Hotel,441,34
SEVILLA PALACE,Ciudad de México,Cuauhtémoc,Avenida PASEO DE LA REFORMA 105 int 3ER,Colonia TABACALERA,6030,5555668877,MSALINAS@SEVILLAPALACE.COM.MX,Hotel,442,51
DESARROLLO PLAYA AZUL,Ciudad de México,Cuauhtémoc,Avenida CHAPULTEPEC 206 int NO,Colonia ROMA NORTE,6700,5511021700,LUIS.GARNILLA@PARALELO19.COM,Hotel,443,17
OPERADORA HOTELERA I421,Ciudad de México,Cuauhtémoc,Avenida INSURGENTES SUR 421 int CONDOMINIO A,Colonia HIPODROMO,6100,5559771234,abraham.castañeda@andaz.com,Hotel,444,86
HOTELERA ALFREDO CHAVERO,Ciudad de México,Cuauhtémoc,Calle ALFREDO CHAVERO 170 int NO,Colonia TRANSITO,6820,5585311013,D_GONZALEZ@HOTELESMX.COM,Hotel,445,83
INMOBILIARIA ALCOSA,Ciudad de México,Cuauhtémoc,Calle ESCUELA MEDICO MILITAR 20 int NINGUNO,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA  2,6010,5555848166,itorreblanca@aol.com,Hotel,446,39
OPERADORA ROSAS MORENO,Ciudad de México,Cuauhtémoc,Calle SERAPIO RENDON 124 int NA,Colonia SAN RAFAEL,6470,5555354289,miguel.ramirez@oamyasociados.com,Hotel,447,59
HOTELES CADILLAC,Ciudad de México,Cuauhtémoc,Calle J MA IZAZAGA 35 int NO,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA  8,6080,5585311013,D_GONZALEZ@HOTELESMX.COM,Hotel,448,41
RESTAURANTES GALES,Ciudad de México,Cuauhtémoc,Calle ALVARO OBREGON 94 int NO,Colonia ROMA NORTE,6700,5585311013,D_GONZALEZ@HOTELESMX.COM,Hotel,449,97
HOTEL COSTA BRAVA,Ciudad de México,Cuauhtémoc,Calle FRONTERA 217 int .NO,Colonia ROMA NORTE,6700,5552650800,CONTABILIDAD2@BENIDORM.COM.MX,Hotel,450,10
PROMOTORA ANTONIO CASO,Ciudad de México,Cuauhtémoc,Calle ANTONIO CASO 207 int NINGUNO,Colonia SAN RAFAEL,6470,5550605307,permisoslegales.2023@gmail.com,Hotel,451,2
INMOBILIRIA Y HOTELERA GUPERI,Ciudad de México,Cuauhtémoc,Calle JOSE MARIA IZAZAGA 156 int NINGUNO,Colonia CENTRO (AREA 9),6090,5555227107,FACTURAS_HPARQUE@HOTMAIL.COM,Hotel,452,59
GRUPO ROESCA,Ciudad de México,Cuauhtémoc,Calle MELCHOR OCAMPO 336 int NINGUNO,Colonia CUAUHTEMOC,16090,5585311013,D.GONZALEZ@HOTELESMX.COM,Hotel,453,80
HOBACUTEL,Ciudad de México,Cuauhtémoc,Calle REPUBLICA DE CUBA 69 int NA,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA 2,6010,5555354289,miguel.ramirez@oamyasociados.com,Hotel,454,73
HOTEL LA ROSA,Ciudad de México,Cuauhtémoc,Calle ELIGIO ANCONA 269 int NO,Colonia SANTA MARIA LA RIBERA,6400,5555416174,NOLYSUE@HOTMAIL.COM,Hotel,455,13
HOTEL ZOCALO CENTRAL,Ciudad de México,Cuauhtémoc,Calle 5 DE MAYO 61 int NA,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA 1,6000,5551303060,abel.medina@centralhoteles.com,Hotel,456,10
HOTEL HISTORICO CENTRAL,Ciudad de México,Cuauhtémoc,Calle BOLIVAR 28 int NA,Colonia CENTRO DE LA CIUDAD DE MEXICO (AREA 1),6000,5551303060,abel.medina@centralhoteles.com,Hotel,457,69
INMOBILIARIA FIPARO,Ciudad de México,Cuauhtémoc,Calle ANTONIO SOLIS 101 int NINGUNO,Colonia OBRERA,16090,5585311013,D.GONZALEZ@HOTELESMX.COM,Hotel,458,28
HOTEL LORD,Ciudad de México,Cuauhtémoc,Calle DOCTOR VELASCO 17 int NINGUNO,Colonia DOCTORES,6720,5585311013,d.gonzalez@hotelesmx.com,Hotel,459,65
HOTEL ANCONA,Ciudad de México,Cuauhtémoc,Calle ELIGIO ANCONA 226 int .NO,Colonia SANTA MARIA LA RIBERA,6400,5555416174,nolysue@hotmail.com,Hotel,460,34
HOTEL PREMIER,Ciudad de México,Cuauhtémoc,Calle ATENAS 72 int NA,Colonia JUAREZ,6600,5555354289,miguel.ramirez@oamyasociados.com,Hotel,461,17
HOTEL TRES COLONIAS,Ciudad de México,Cuauhtémoc,Calle RIBERA DE SAN COSME 132 int .NO,Colonia SAN RAFAEL,6470,5555416174,nolysue@hotmail.com,Hotel,462,45
JUMOSA,Ciudad de México,Cuauhtémoc,Calle GOMEZ FARIAS 53 int NA,Colonia SAN RAFAEL,6470,5555354289,miguel.ramirez@oamyasociados.com,Hotel,463,113
HOSTAL AMIGO,Ciudad de México,Cuauhtémoc,Calle ISABEL LA CATOLICA 61-A int .,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA 1,6000,5555123496,gerencia_suites@hostalamigo.com,Hotel,464,9
HOTELERA MOSQUETA,Ciudad de México,Cuauhtémoc,Calle ZARAGOZA 155 int .NO,Colonia BUENAVISTA,6350,5555911599,PROVEEDORESNORTE@HOTMAIL.com,Hotel,465,113
HOSPEDAJE ARGENTINA,Ciudad de México,Cuauhtémoc,Calle PEDRO MORENO 20 int .NO,Colonia GUERRERO,6300,5557459308,DESPACHO@CONTADORESLUYANDO.COM,Hotel,466,32
HOTEL LA PALOMA,Ciudad de México,Cuauhtémoc,Calle OROZCO Y BERRA 187 int NINGUNO,Colonia SANTA MARIA LA RIBERA,6400,5552550091,alejandro_velesmicp@outlook.com.mx,Hotel,467,48
HOTEL MX CENTRO URUGUAY 90,Ciudad de México,Cuauhtémoc,Calle REPUBLICA DE URUGUAY 90 int NINGUNO,Colonia CENTRO AREA 6,16090,5685311013,d.gonzalez@hotelesmx.com,Hotel,468,37
HOSTAL BOUTIQUE REPUBLICA,Ciudad de México,Cuauhtémoc,Calle REPUBLICA DE URUGUAY 86 Y AZOTEA int NINGUNO,Colonia CENTRO (AREA 6),6060,5550674150,GMASESORES_ALEJANDRAOT@OUTLOOK.ES,Hotel,469,21
HOTEL PLAZA GARIBALDI,Ciudad de México,Cuauhtémoc,Calle REP DE HONDURAS 11 int NINGUNO,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA 2,6010,5585311013,d.gonzalez@hotelesmx.com,Hotel,470,57
HOTELERA FLEMING,Ciudad de México,Cuauhtémoc,Calle REVILLAGIGEDO 35 int NA,Colonia CENTRO DE LA CIUDAD DE MEXICO AREA 5,6050,5555104530,HOTELFLEMING@PRODIGY.NET.MX,Hotel,471,107
HOTEL CAMPECHE,Ciudad de México,Cuauhtémoc,Calle CAMPECHE 64 int NO,Colonia ROMA SUR,6760,5555219594,FACTURACION_CIUDADELA@KALIHOTELES.COM,Hotel,472,70
MARALPE,Ciudad de México,Cuauhtémoc,Calle SAN ANTONIO ABAD 161 int NA,Colonia OBRERA,6800,5556721872,ESQUEDASALAS.ASOC2@YAHOO.COM.MX,Hotel,473,91
